# t    Ek    Ep    Etot
0.00000000000000e+00 0.00000000000000e+00 -1.56149629300934e+02 -1.56149629300934e+02
1.00000000000000e-02 1.50765100738411e-02 -1.56164703084389e+02 -1.56149626574316e+02
2.00000000000000e-02 6.03497059029940e-02 -1.56209968080761e+02 -1.56149618374858e+02
3.00000000000000e-02 1.35950891920768e-01 -1.56285555535635e+02 -1.56149604643715e+02
4.00000000000000e-02 2.42099935097036e-01 -1.56391685217808e+02 -1.56149585282711e+02
5.00000000000000e-02 3.79106807191740e-01 -1.56528666961436e+02 -1.56149560154244e+02
6.00000000000000e-02 5.47373748946283e-01 -1.56696902830189e+02 -1.56149529081243e+02
7.00000000000000e-02 7.47398059478913e-01 -1.56896889906819e+02 -1.56149491847340e+02
8.00000000000000e-02 9.79775512360276e-01 -1.57129223709748e+02 -1.56149448197387e+02
9.00000000000000e-02 1.24520439565492e+00 -1.57394602234251e+02 -1.56149397838596e+02
1.00000000000000e-01 1.54449016565308e+00 -1.57693830608274e+02 -1.56149340442621e+02
1.10000000000000e-01 1.87855069179305e+00 -1.58027826340858e+02 -1.56149275649065e+02
1.20000000000000e-01 2.24842205165589e+00 -1.58397625122675e+02 -1.56149203071019e+02
1.30000000000000e-01 2.65526480756889e+00 -1.58804387111094e+02 -1.56149122303525e+02
1.40000000000000e-01 3.10037065713803e+00 -1.59249403593230e+02 -1.56149032936092e+02
1.50000000000000e-01 3.58516929469594e+00 -1.59734103865574e+02 -1.56148934570878e+02
1.60000000000000e-01 4.11123524346603e+00 -1.60260062092106e+02 -1.56148826848640e+02
1.70000000000000e-01 4.68029431145748e+00 -1.60829003796867e+02 -1.56148709485409e+02
1.80000000000000e-01 5.29422917725386e+00 -1.61442811500979e+02 -1.56148582323726e+02
1.90000000000000e-01 5.95508341080876e+00 -1.62103528814622e+02 -1.56148445403814e+02
2.00000000000000e-01 6.66506296004546e+00 -1.62813362021880e+02 -1.56148299061835e+02
2.10000000000000e-01 7.42653376078810e+00 -1.63574677825696e+02 -1.56148144064908e+02
2.20000000000000e-01 8.24201362079391e+00 -1.64389995416820e+02 -1.56147981796026e+02
